200,10,,358.70,358.70,0.00,3.52,,3.52,0.51
230,20,,49.61,49.61,0.00,2.08,1650.00,2.08,0.23
400,30,,364.19,364.19,0.00,15.30,1350.00,15.30,1.67
410,40,,1273.50,1273.50,0.00,71.32,3000.00,71.32,6.55
420,50,,431.14,422.40,8.73,11.83,2200.00,11.83,1.29
420,60,,344.82,341.15,3.67,14.33,1850.00,14.33,1.56
340,70,,360.26,360.26,0.00,5.04,,5.04,0.73
300,80,,733.77,733.77,0.00,25.68,,25.68,3.73
350,90,,238.24,238.24,0.00,0.50,,0.50,0.07
350,100,,48.98,48.98,0.00,0.10,,0.10,0.01
210,110,,24.51,24.51,0.00,0.05,,0.05,0.01
10,200,,508.37,508.37,0.00,5.39,,5.39,0.78
310,200,,498.52,498.52,0.00,3.83,,3.83,0.55
200,210,,648.20,648.20,0.00,5.00,,4.46,0.65
220,210,,45.28,45.28,0.00,0.35,,0.88,0.13
110,210,,9.00,9.00,0.00,0.04,,0.77,0.12
210,220,,603.90,603.90,0.00,13.86,,13.86,1.99
230,220,,442.30,442.30,0.00,12.40,,12.40,1.78
330,220,,0.00,0.00,0.00,0.00,,0.00,0.00
20,230,,90.00,90.00,0.00,4.49,,4.49,0.51
400,230,,394.53,394.53,0.00,1.88,,1.88,0.21
220,230,,459.31,459.31,0.00,3.40,,3.40,0.49
80,300,,1010.81,1010.81,0.00,36.91,,36.91,5.35
350,300,,1312.48,1312.48,0.00,5.47,,5.47,0.79
300,310,,1524.38,1524.38,0.00,25.14,,25.14,3.61
200,310,,0.00,0.00,0.00,0.00,,0.00,0.00
310,320,,1025.85,1025.85,0.00,2.17,,2.17,0.32
320,330,,1025.85,1025.85,0.00,35.50,,35.50,5.12
220,330,,604.61,604.61,0.00,16.14,,16.14,2.31
440,330,,867.02,867.02,0.00,22.66,,22.66,3.24
330,340,,1431.21,1431.21,0.00,28.17,,28.17,4.03
70,340,,427.62,427.62,0.00,16.12,,16.12,2.32
340,350,,1498.57,1498.57,0.00,31.75,,31.75,4.56
90,350,,27.00,27.00,0.00,0.81,,0.81,0.12
300,350,,65.14,65.14,0.00,2.41,,2.41,0.35
100,350,,9.00,9.00,0.00,0.25,,0.25,0.04
30,400,,495.00,495.00,0.00,25.62,,22.61,2.52
410,400,,365.43,365.43,0.00,4.79,,2.48,0.73
230,400,,451.93,451.93,0.00,6.17,,3.19,0.39
400,410,,553.64,553.64,0.00,16.45,,16.45,2.94
40,410,,882.00,882.00,0.00,75.83,,75.83,8.12
420,410,,1086.72,1086.72,0.00,24.77,,24.77,3.65
410,420,,883.44,883.44,0.00,29.98,,29.98,4.43
50,420,,330.00,330.00,0.00,21.16,,21.16,2.74
60,420,,449.99,449.99,0.00,30.72,,30.72,3.76
440,420,,1066.28,1066.28,0.00,49.09,,49.51,7.14
420,440,,867.02,867.02,0.00,8.31,,8.31,2.92
330,440,,1066.28,1066.28,0.00,8.96,,8.96,1.27
