200,10,,0.00,1250.00,28.70,0.00,0.00,16.80,30.00,16.80,30.00
230,20,,0.00,1650.00,3.01,0.00,0.00,54.00,40.00,54.00,40.00
400,30,,0.00,1350.00,26.98,0.00,0.23,54.23,39.83,54.23,39.83
410,40,,0.00,3000.00,42.45,0.00,3.18,60.78,47.39,60.78,47.39
420,50,,0.00,2200.00,19.20,0.00,0.03,36.03,39.97,36.03,39.97
420,60,,0.00,1850.00,18.44,0.00,0.03,54.03,39.97,54.03,39.97
340,70,,0.00,1250.00,28.82,0.00,0.00,24.00,30.00,24.00,30.00
300,80,,0.00,1250.00,58.70,0.00,0.00,60.00,30.00,60.00,30.00
350,90,,0.00,1250.00,19.06,0.00,0.00,3.60,30.00,3.60,30.00
350,100,,0.00,1250.00,3.92,0.00,0.00,3.60,30.00,3.60,30.00
210,110,,0.00,1250.00,1.96,0.00,0.00,3.60,30.00,3.60,30.00
10,200,,0.00,1250.00,40.67,0.00,2.42,16.80,30.00,19.22,26.22
310,200,,0.00,2735.09,18.23,0.00,2.12,9.60,30.00,11.72,24.58
200,210,,0.00,1559.57,41.56,0.00,5.15,9.60,30.00,14.75,19.53
220,210,,0.00,1586.09,2.85,0.00,8.24,8.40,30.00,16.64,15.15
110,210,,0.00,1371.64,0.66,0.00,7.05,3.60,30.00,10.65,10.14
210,220,,0.00,1050.00,63.51,0.00,17.22,8.40,30.00,25.62,9.84
230,220,,0.00,1036.92,42.66,0.00,22.21,12.00,30.00,34.21,10.52
330,220,,0.00,906.25,0.00,0.00,18.86,5.40,30.00,24.26,6.68
20,230,,0.00,423.17,21.27,0.00,6.79,54.00,40.00,60.79,35.53
400,230,,0.00,2664.21,14.81,0.00,1.25,5.40,40.00,6.65,32.47
220,230,,0.00,1941.73,23.65,0.00,1.21,12.00,30.00,13.21,27.24
80,300,,0.00,2238.71,45.15,0.00,1.87,60.00,30.00,61.87,29.09
350,300,,0.00,4058.06,32.34,0.00,0.86,6.00,30.00,6.86,26.24
300,310,,0.00,3632.26,41.97,0.00,6.82,14.40,30.00,21.22,20.36
200,310,,0.00,474.19,0.00,0.00,22.38,9.60,30.00,31.98,9.01
310,320,,0.00,2842.74,36.09,0.00,1.01,3.00,30.00,4.01,22.42
320,330,,0.00,1507.53,68.05,0.00,37.68,13.20,30.00,50.88,7.78
220,330,,0.00,901.83,67.04,0.00,27.24,5.40,30.00,32.64,4.96
440,330,,0.00,1096.77,79.05,0.00,24.92,6.00,30.00,30.92,5.82
330,340,,0.00,3254.84,43.97,0.00,10.59,12.00,30.00,22.59,15.93
70,340,,0.00,677.42,63.12,0.00,28.14,24.00,30.00,52.14,13.81
340,350,,0.00,2546.20,58.86,0.00,12.46,14.40,30.00,26.86,16.08
90,350,,0.00,154.84,17.44,0.00,39.76,3.60,30.00,43.36,2.49
300,350,,0.00,498.39,13.07,0.00,65.49,6.00,30.00,71.49,2.52
100,350,,0.00,241.94,3.72,0.00,33.11,3.60,30.00,36.71,2.94
30,400,,0.00,1317.68,37.57,0.00,19.58,54.00,40.00,73.58,29.36
410,400,,0.00,1372.95,26.62,0.00,20.76,18.00,10.00,38.76,4.64
230,400,,0.00,1405.21,32.16,0.00,21.22,5.40,40.00,26.62,8.12
400,410,,0.00,1438.01,38.50,0.00,46.89,18.00,10.00,64.89,2.77
40,410,,0.00,1050.00,84.00,0.00,44.72,57.60,50.00,102.32,28.15
420,410,,0.00,1480.00,73.43,0.00,23.61,3.60,20.00,27.21,2.65
410,420,,0.00,930.59,94.93,0.00,50.64,3.60,20.00,54.24,1.33
50,420,,0.00,374.84,88.04,0.00,61.18,36.00,40.00,97.18,14.82
60,420,,0.00,1282.86,35.08,0.00,36.21,54.00,40.00,90.21,23.95
440,420,,0.00,1249.35,85.35,0.00,78.00,7.20,30.00,85.20,2.54
420,440,,0.00,2766.13,31.34,0.00,2.76,30.86,7.00,33.62,6.43
330,440,,0.00,2766.13,38.55,0.00,1.16,6.00,30.00,7.16,25.14
