200,10,,0.00,0.00,0.00,0.00
230,20,,0.00,0.00,0.00,0.00
400,30,,0.00,0.00,0.00,0.00
410,40,,0.00,0.00,0.00,0.00
420,50,,0.00,0.00,0.00,0.00
420,60,,0.00,0.00,0.00,0.00
340,70,,0.00,0.00,0.00,0.00
300,80,,0.00,0.00,0.00,0.00
350,90,,0.00,0.00,0.00,0.00
350,100,,0.00,0.00,0.00,0.00
210,110,,0.00,0.00,0.00,0.00
10,200,,0.00,0.00,0.00,0.00
310,200,,0.00,0.00,0.00,0.00
200,210,,0.01,0.00,0.00,0.00
220,210,,0.00,0.00,0.00,0.00
110,210,,0.00,0.00,0.00,0.00
210,220,,0.91,0.00,0.00,0.00
230,220,,0.04,0.00,0.00,0.00
330,220,,0.00,0.00,0.00,0.00
20,230,,0.03,0.02,0.00,0.00
400,230,,0.02,0.00,0.00,0.00
220,230,,0.02,0.01,0.00,0.00
80,300,,0.00,0.00,0.00,0.00
350,300,,0.42,0.00,0.00,0.00
300,310,,0.22,0.00,0.00,0.00
200,310,,0.00,0.00,0.00,0.00
310,320,,0.04,0.00,0.00,66.09
320,330,,1.72,0.00,0.00,66.09
220,330,,0.19,0.02,0.00,0.00
440,330,,0.21,0.00,0.00,38.26
330,340,,0.07,0.00,0.00,0.00
70,340,,0.00,0.00,0.00,0.00
340,350,,0.01,0.00,0.00,0.00
90,350,,0.00,0.00,0.00,0.00
300,350,,0.00,0.00,0.00,0.00
100,350,,0.00,0.00,0.00,0.00
30,400,,0.06,0.06,0.00,0.00
410,400,,0.00,0.01,0.00,0.00
230,400,,0.02,0.02,0.00,0.00
400,410,,0.43,0.01,0.00,0.00
40,410,,0.07,0.00,0.00,0.00
420,410,,0.98,0.00,0.00,0.00
410,420,,2.72,0.02,0.00,0.00
50,420,,0.00,0.00,0.00,0.00
60,420,,0.00,0.00,0.00,0.00
440,420,,6.67,0.00,0.00,48.70
420,440,,0.02,0.00,0.00,38.26
330,440,,0.06,0.00,0.00,48.70
