200,10,,0.00,0.00,0.00,145.46
230,20,,0.00,0.00,0.00,49.98
400,30,,0.00,0.00,0.00,24.74
410,40,,0.00,0.00,0.00,198.22
420,50,,0.00,0.00,0.00,189.39
420,60,,0.00,0.00,0.00,273.98
340,70,,0.00,0.00,0.00,156.21
300,80,,0.00,0.00,0.00,87.82
350,90,,0.00,0.00,0.00,55.04
350,100,,0.00,0.00,0.00,24.00
210,110,,0.00,0.00,0.00,40.25
10,200,,2.42,0.00,0.00,145.46
310,200,,0.84,0.00,1.28,89.99
200,210,,0.00,0.00,0.10,148.84
220,210,,0.00,0.00,0.02,177.54
110,210,,0.00,0.00,0.05,40.25
210,220,,8.93,0.00,8.29,177.54
230,220,,3.02,0.00,19.19,223.22
330,220,,1.99,0.00,16.88,115.74
20,230,,0.00,0.00,3.79,49.98
400,230,,1.11,0.00,0.15,153.06
220,230,,1.21,0.00,0.00,223.22
80,300,,0.42,0.00,1.45,87.82
350,300,,0.47,0.00,0.39,72.62
300,310,,1.20,0.00,5.62,184.22
200,310,,3.80,0.00,18.58,89.99
310,320,,0.99,0.00,0.02,72.78
320,330,,7.74,0.00,29.94,170.23
220,330,,5.98,0.00,21.26,115.74
440,330,,7.59,0.00,17.32,108.76
330,340,,4.62,0.00,5.97,160.13
70,340,,7.11,0.00,21.03,156.21
340,350,,3.75,0.00,8.71,186.75
90,350,,14.03,0.00,25.72,55.04
300,350,,29.26,0.00,36.23,72.62
100,350,,7.72,0.00,25.38,24.00
30,400,,0.00,0.00,0.87,24.74
410,400,,0.00,0.00,0.83,205.80
230,400,,0.00,0.00,0.66,153.06
400,410,,29.90,0.00,16.99,205.80
40,410,,21.64,0.00,23.09,198.22
420,410,,4.51,0.00,19.10,79.25
410,420,,23.12,0.00,27.52,79.25
50,420,,27.65,0.00,33.52,189.39
60,420,,8.37,0.00,27.84,273.98
440,420,,28.49,21.73,27.78,113.32
420,440,,0.95,0.00,1.81,113.32
330,440,,1.06,0.00,0.10,108.76
