200,10,,358.70,358.70
230,20,,49.61,49.61
400,30,,364.19,364.19
410,40,,1273.50,1273.50
420,50,,431.14,422.40
420,60,,344.82,341.15
340,70,,360.26,360.26
300,80,,733.77,733.77
350,90,,238.24,238.24
350,100,,48.98,48.98
210,110,,24.51,24.51
10,200,,508.37,508.37
310,200,,498.52,498.52
200,210,,648.20,648.20
220,210,,45.28,45.28
110,210,,9.00,9.00
210,220,,666.90,666.90
230,220,,442.30,442.30
330,220,,0.00,0.00
20,230,,90.01,90.01
400,230,,394.53,394.53
220,230,,459.31,459.31
80,300,,1010.81,1010.81
350,300,,1312.48,1312.48
300,310,,1524.38,1524.38
200,310,,0.00,0.00
310,320,,1025.85,1025.85
320,330,,1025.85,1025.85
220,330,,604.61,604.61
440,330,,867.02,867.02
330,340,,1431.21,1431.21
70,340,,427.62,427.62
340,350,,1498.57,1498.57
90,350,,27.00,27.00
300,350,,65.14,65.14
100,350,,9.00,9.00
30,400,,495.00,495.00
410,400,,365.43,365.43
230,400,,451.93,451.93
400,410,,553.64,553.64
40,410,,882.00,882.00
420,410,,1086.72,1086.72
410,420,,883.44,883.44
50,420,,330.00,330.00
60,420,,449.99,449.99
440,420,,1066.28,1066.28
420,440,,867.02,867.02
330,440,,1066.28,1066.28
