200,10,,0.17,0.10,0.00,0.00,0.00,2.00,0.00
230,20,,0.08,0.04,0.00,0.00,0.00,2.00,0.00
400,30,,0.56,0.31,0.00,0.00,0.00,2.00,0.00
410,40,,2.21,1.23,0.01,0.00,0.00,2.00,0.00
420,50,,0.43,0.24,0.00,0.00,0.00,2.00,0.00
420,60,,0.53,0.29,0.00,0.00,0.00,2.00,0.00
340,70,,0.25,0.14,0.00,0.00,0.00,2.00,0.00
300,80,,1.25,0.70,0.00,0.00,0.00,2.00,0.00
350,90,,0.02,0.01,0.00,0.00,0.00,2.00,0.00
350,100,,0.01,0.00,0.00,0.00,0.00,2.00,0.00
210,110,,0.00,0.00,0.00,0.00,0.00,2.00,0.00
10,200,,0.24,0.15,0.00,0.00,0.00,2.00,0.00
310,200,,0.15,0.10,0.00,0.00,0.00,2.00,0.00
200,210,,0.19,0.12,0.00,0.00,0.00,2.00,0.00
220,210,,0.01,0.02,0.00,0.00,0.00,2.00,0.00
110,210,,0.00,0.02,0.00,0.00,0.00,2.00,0.00
210,220,,0.34,0.35,0.00,58.33,0.00,2.00,0.00
230,220,,0.31,0.31,0.00,25.00,0.00,2.00,0.00
330,220,,0.00,0.00,0.00,25.00,0.00,2.00,0.00
20,230,,0.15,0.09,0.00,0.00,0.00,2.00,0.00
400,230,,0.06,0.04,0.00,0.00,0.00,2.00,0.00
220,230,,0.16,0.09,0.00,0.00,0.00,2.00,0.00
80,300,,1.75,1.00,0.01,94.60,0.00,2.00,0.00
350,300,,0.24,0.15,0.00,84.35,0.00,2.00,0.00
300,310,,0.86,0.65,0.00,71.78,0.00,2.00,0.00
200,310,,0.00,0.00,0.00,22.58,0.00,2.00,0.00
310,320,,0.09,0.06,0.00,75.81,0.00,2.00,0.00
320,330,,0.79,0.90,0.00,32.48,0.00,2.00,0.00
220,330,,0.33,0.40,0.00,24.19,0.00,2.00,0.00
440,330,,0.49,0.57,0.00,32.26,0.00,2.00,0.00
330,340,,0.84,0.72,0.00,67.41,0.00,2.00,0.00
70,340,,0.46,0.41,0.00,24.19,0.00,2.00,0.00
340,350,,0.96,0.81,0.00,54.84,0.00,2.00,0.00
90,350,,0.01,0.02,0.00,9.68,0.00,2.00,0.00
300,350,,0.03,0.06,0.00,15.24,0.00,2.00,0.00
100,350,,0.00,0.01,0.00,9.68,0.00,2.00,0.00
30,400,,0.80,0.47,0.00,0.00,0.00,2.00,0.00
410,400,,0.21,0.13,0.00,0.00,0.00,2.00,0.00
230,400,,0.10,0.07,0.00,0.00,0.00,2.00,0.00
400,410,,0.45,0.51,0.00,65.02,0.00,2.00,0.00
40,410,,1.82,1.46,0.01,34.54,0.00,2.00,0.00
420,410,,0.51,0.63,0.00,40.00,0.00,2.00,0.00
410,420,,0.48,0.76,0.00,26.32,0.00,2.00,0.00
50,420,,0.49,0.48,0.00,10.53,0.00,2.00,0.00
60,420,,0.87,0.68,0.00,18.97,0.00,2.00,0.00
440,420,,0.71,1.22,0.01,23.37,0.00,2.00,0.00
420,440,,0.87,0.54,0.00,79.03,0.00,2.00,0.00
330,440,,0.31,0.23,0.00,79.03,0.00,2.00,0.00
